Datasource,Campaign,Daily,Clicks,Impressions
Google Ads,GDN_Retargeting,06/02/19,58,34738
Google Ads,GDN_Retargeting,06/03/19,60,61622
Google Ads,GDN_Retargeting,06/04/19,64,52409
Google Ads,GDN_Retargeting,06/05/19,62,55709
Google Ads,GDN_Retargeting,06/06/19,57,45134
Google Ads,GDN_Retargeting,06/07/19,56,45940
Google Ads,GDN_Retargeting,06/08/19,59,42038
Google Ads,GDN_Retargeting,06/09/19,58,37924
Google Ads,GDN_Retargeting,06/10/19,57,51028
Google Ads,GDN_Retargeting,06/11/19,59,46484
Google Ads,GDN_Retargeting,06/12/19,58,54807
Google Ads,GDN_Retargeting,06/13/19,52,46201
Google Ads,GDN_Retargeting,06/14/19,55,41523
Google Ads,GDN_Retargeting,06/15/19,63,47129
Google Ads,GDN_Retargeting,06/16/19,58,43822
Google Ads,GDN_Retargeting,06/17/19,60,43599
Google Ads,GDN_Retargeting,06/18/19,53,33818
Google Ads,GDN_Retargeting,06/19/19,62,43474
Google Ads,GDN_Retargeting,06/20/19,60,44488
Google Ads,GDN_Retargeting,06/21/19,55,42430
Google Ads,GDN_Retargeting,06/22/19,61,45544
Google Ads,GDN_Retargeting,06/23/19,52,26828
Google Ads,GDN_Retargeting,06/24/19,60,37667
Google Ads,GDN_Retargeting,06/25/19,51,38079
Google Ads,GDN_Retargeting,06/26/19,56,37265
Google Ads,GDN_Retargeting,06/27/19,53,48499
Google Ads,GDN_Retargeting,06/28/19,50,38764
Google Ads,GDN_Retargeting,06/29/19,49,24512
Google Ads,GDN_Retargeting,06/30/19,48,28116
Google Ads,GDN_Retargeting,07/01/19,53,48731
Google Ads,GDN_Retargeting,07/02/19,62,33396
Google Ads,GDN_Retargeting,07/03/19,53,36107
Google Ads,GDN_Retargeting,07/04/19,56,31120
Google Ads,GDN_Retargeting,07/05/19,58,38486
Google Ads,GDN_Retargeting,07/06/19,52,34967
Google Ads,GDN_Retargeting,07/07/19,56,40413
Google Ads,GDN_Retargeting,07/08/19,64,47423
Google Ads,GDN_Retargeting,07/09/19,60,42435
Google Ads,GDN_Retargeting,07/10/19,62,62069
Google Ads,GDN_Retargeting,07/11/19,57,49468
Google Ads,GDN_Retargeting,07/12/19,59,46062
Google Ads,GDN_Retargeting,07/13/19,59,45816
Google Ads,GDN_Retargeting,07/14/19,58,33524
Google Ads,GDN_Retargeting,07/15/19,57,50280
Google Ads,GDN_Retargeting,07/16/19,51,44649
Google Ads,GDN_Retargeting,07/17/19,53,35234
Google Ads,GDN_Retargeting,07/18/19,53,47607
Google Ads,GDN_Retargeting,07/19/19,54,43543
Google Ads,GDN_Retargeting,07/20/19,53,40864
Google Ads,GDN_Retargeting,07/21/19,52,39270
Google Ads,GDN_Retargeting,07/22/19,53,37136
Google Ads,GDN_Retargeting,07/23/19,55,40325
Google Ads,GDN_Retargeting,07/24/19,57,28339
Google Ads,GDN_Retargeting,07/25/19,62,43440
Google Ads,GDN_Retargeting,07/26/19,56,36051
Google Ads,GDN_Retargeting,07/27/19,51,36639
Google Ads,GDN_Retargeting,07/28/19,54,39300
Google Ads,GDN_Retargeting,07/29/19,56,35500
Google Ads,GDN_Retargeting,07/30/19,57,37519
Google Ads,GDN_Retargeting,07/31/19,52,36291
Google Ads,GDN_Retargeting,08/01/19,59,51280
Google Ads,GDN_Retargeting,08/02/19,51,33201
Google Ads,GDN_Retargeting,08/03/19,57,31355
Google Ads,GDN_Retargeting,08/04/19,57,43643
Google Ads,GDN_Retargeting,08/05/19,52,37137
Google Ads,GDN_Retargeting,08/06/19,71,51184
Google Ads,GDN_Retargeting,08/07/19,58,49559
Google Ads,GDN_Retargeting,08/08/19,63,53797
Google Ads,GDN_Retargeting,08/09/19,61,50014
Google Ads,GDN_Retargeting,08/10/19,60,37522
Google Ads,GDN_Retargeting,08/11/19,57,33186
Google Ads,GDN_Retargeting,08/12/19,55,46395
Google Ads,GDN_Retargeting,08/13/19,60,49306
Google Ads,GDN_Retargeting,08/14/19,51,31247
Google Ads,GDN_Retargeting,08/15/19,61,47465
Google Ads,GDN_Retargeting,08/16/19,62,45310
Google Ads,GDN_Retargeting,08/17/19,54,34291
Google Ads,GDN_Retargeting,08/18/19,54,37289
Google Ads,GDN_Retargeting,08/19/19,57,46942
Google Ads,GDN_Retargeting,08/20/19,57,50219
Google Ads,GDN_Retargeting,08/21/19,64,56619
Google Ads,GDN_Retargeting,08/22/19,64,38698
Google Ads,GDN_Retargeting,08/23/19,59,40483
Google Ads,GDN_Retargeting,08/24/19,65,47926
Google Ads,GDN_Retargeting,08/25/19,62,53924
Google Ads,GDN_Retargeting,08/26/19,59,45730
Google Ads,GDN_Retargeting,08/27/19,62,51265
Google Ads,GDN_Retargeting,08/28/19,61,50525
Google Ads,GDN_Retargeting,08/29/19,58,46654
Google Ads,GDN_Retargeting,08/30/19,48,46244
Google Ads,GDN_Retargeting,08/31/19,68,43501
Google Ads,GDN_Retargeting,09/01/19,68,54265
Google Ads,GDN_Retargeting,09/02/19,65,56025
Google Ads,GDN_Retargeting,09/03/19,66,52175
Google Ads,GDN_Retargeting,09/04/19,70,47210
Google Ads,GDN_Retargeting,09/05/19,64,46913
Google Ads,GDN_Retargeting,09/06/19,79,53981
Google Ads,GDN_Retargeting,09/07/19,82,76348
Google Ads,GDN_Retargeting,09/08/19,86,83567
Google Ads,GDN_Retargeting,09/09/19,65,51570
Google Ads,GDN_Retargeting,09/10/19,83,76747
Google Ads,GDN_Retargeting,09/11/19,103,103780
Google Ads,GDN_Retargeting,09/12/19,119,115719
Google Ads,GDN_Retargeting,09/13/19,110,107096
Google Ads,GDN_Retargeting,09/14/19,116,93896
Google Ads,GDN_Retargeting,09/15/19,117,112192
Google Ads,GDN_Retargeting,09/16/19,118,120527
Google Ads,GDN_Retargeting,09/17/19,106,125089
Google Ads,GDN_Retargeting,09/18/19,100,130041
Google Ads,GDN_Retargeting,09/19/19,121,128875
Google Ads,GDN_Retargeting,09/20/19,108,116521
Google Ads,GDN_Retargeting,09/21/19,81,67789
Google Ads,GDN_Retargeting,09/22/19,84,67352
Google Ads,GDN_Retargeting,09/23/19,73,62631
Google Ads,GDN_Retargeting,09/24/19,59,63796
Google Ads,GDN_Retargeting,09/25/19,81,51529
Google Ads,GDN_Retargeting,09/26/19,78,59697
Google Ads,GDN_Retargeting,09/27/19,71,69002
Google Ads,GDN_Retargeting,09/28/19,68,62438
Google Ads,GDN_Retargeting,09/29/19,66,64368
Google Ads,GDN_Retargeting,09/30/19,88,61854
Google Ads,GDN_Retargeting,10/01/19,86,84791
Google Ads,GDN_Retargeting,10/02/19,82,88757
Google Ads,GDN_Retargeting,10/03/19,92,90538
Google Ads,GDN_Retargeting,10/04/19,84,93970
Google Ads,GDN_Retargeting,10/05/19,87,87093
Google Ads,GDN_Retargeting,10/06/19,88,67017
Google Ads,GDN_Retargeting,10/07/19,89,71632
Google Ads,GDN_Retargeting,10/08/19,85,80900
Google Ads,GDN_Retargeting,10/09/19,85,68822
Google Ads,GDN_Retargeting,10/10/19,89,80284
Google Ads,GDN_Retargeting,10/11/19,84,66908
Google Ads,GDN_Retargeting,10/12/19,89,83292
Google Ads,GDN_Retargeting,10/13/19,84,78481
Google Ads,GDN_Retargeting,10/14/19,86,74798
Google Ads,GDN_Retargeting,10/15/19,84,86266
Google Ads,GDN_Retargeting,10/16/19,85,89637
Google Ads,GDN_Retargeting,10/17/19,84,94838
Google Ads,GDN_Retargeting,10/18/19,85,76010
Google Ads,GDN_Retargeting,10/19/19,78,74335
Google Ads,GDN_Retargeting,10/20/19,89,64435
Google Ads,GDN_Retargeting,10/21/19,84,62255
Google Ads,GDN_Retargeting,10/22/19,80,75844
Google Ads,GDN_Retargeting,10/23/19,84,63554
Google Ads,GDN_Retargeting,10/24/19,82,82276
Google Ads,GDN_Retargeting,10/25/19,82,59157
Google Ads,GDN_Retargeting,10/26/19,79,54982
Google Ads,GDN_Retargeting,10/27/19,79,62748
Google Ads,GDN_Retargeting,10/28/19,77,61660
Google Ads,GDN_Retargeting,10/29/19,79,67307
Google Ads,GDN_Retargeting,10/30/19,78,50606
Google Ads,GDN_Retargeting,10/31/19,69,62138
Google Ads,GDN_Retargeting,11/01/19,83,53777
Google Ads,GDN_Retargeting,11/02/19,86,58399
Google Ads,GDN_Retargeting,11/03/19,72,46863
Google Ads,GDN_Retargeting,11/04/19,76,52056
Google Ads,GDN_Retargeting,11/05/19,82,51701
Google Ads,GDN_Retargeting,11/06/19,77,58669
Google Ads,GDN_Retargeting,11/07/19,76,58764
Google Ads,GDN_Retargeting,11/08/19,69,49216
Google Ads,GDN_Retargeting,11/09/19,78,43796
Google Ads,GDN_Retargeting,11/10/19,76,47581
Google Ads,GDN_Retargeting,11/11/19,80,55893
Google Ads,GDN_Retargeting,11/12/19,85,59033
Google Ads,GDN_Retargeting,11/13/19,73,51930
Google Ads,GDN_Retargeting,11/14/19,68,49747
Google Ads,GDN_Retargeting,11/15/19,73,49948
Google Ads,GDN_Retargeting,11/16/19,73,44473
Google Ads,GDN_Retargeting,11/17/19,75,43734
Google Ads,GDN_Retargeting,11/18/19,75,55708
Google Ads,GDN_Retargeting,11/19/19,80,52824
Google Ads,GDN_Retargeting,11/20/19,73,64340
Google Ads,GDN_Retargeting,11/21/19,73,54416
Google Ads,GDN_Retargeting,11/22/19,68,46461
Google Ads,GDN_Retargeting,11/23/19,79,50919
Google Ads,GDN_Retargeting,11/24/19,72,43763
Google Ads,GDN_Retargeting,11/25/19,87,59705
Google Ads,GDN_Retargeting,11/26/19,71,72346
Google Ads,GDN_Retargeting,11/27/19,75,55961
Google Ads,GDN_Retargeting,11/28/19,63,55508
Google Ads,GDN_Retargeting,11/29/19,67,58833
Google Ads,GDN_Retargeting,11/30/19,63,46291
Google Ads,GDN_Retargeting,12/01/19,72,46137
Google Ads,GDN_Retargeting,12/02/19,78,64325
Google Ads,GDN_Retargeting,12/03/19,78,56372
Google Ads,GDN_Retargeting,12/04/19,69,64961
Google Ads,GDN_Retargeting,12/05/19,61,56553
Google Ads,GDN_Retargeting,12/06/19,12,13596
Google Ads,GDN_Retargeting,12/07/19,28,18793
Google Ads,GDN_Retargeting,12/08/19,22,16565
Google Ads,GDN_Retargeting,12/09/19,71,53244
Google Ads,GDN_Retargeting,12/10/19,91,53807
Google Ads,GDN_Retargeting,12/11/19,83,57241
Google Ads,GDN_Retargeting,12/12/19,77,54999
Google Ads,GDN_Retargeting,12/13/19,70,54823
Google Ads,GDN_Retargeting,12/14/19,72,56291
Google Ads,GDN_Retargeting,12/15/19,67,47411
Google Ads,GDN_Retargeting,12/16/19,75,64418
Google Ads,GDN_Retargeting,12/17/19,82,51464
Google Ads,GDN_Retargeting,12/18/19,80,51189
Google Ads,GDN_Retargeting,12/19/19,77,51492
Google Ads,GDN_Retargeting,12/20/19,72,59444
Google Ads,GDN_Retargeting,12/21/19,83,48528
Google Ads,GDN_Retargeting,12/22/19,68,55698
Google Ads,GDN_Retargeting,12/23/19,84,57083
Google Ads,GDN_Retargeting,12/24/19,69,41215
Google Ads,GDN_Retargeting,12/25/19,77,45113
Google Ads,GDN_Retargeting,12/26/19,71,43465
Google Ads,GDN_Retargeting,12/27/19,69,57615
Google Ads,GDN_Retargeting,12/28/19,73,37109
Google Ads,GDN_Retargeting,12/29/19,74,45452
Google Ads,GDN_Retargeting,12/30/19,73,57601
Google Ads,GDN_Retargeting,12/31/19,70,37218
Google Ads,GDN_Retargeting,01/01/20,52,27118
Google Ads,GDN_Retargeting,01/02/20,52,28525
Google Ads,GDN_Retargeting,01/03/20,51,40034
Google Ads,GDN_Retargeting,01/04/20,59,48232
Google Ads,GDN_Retargeting,01/05/20,54,37661
Google Ads,GDN_Retargeting,01/06/20,61,29736
Google Ads,GDN_Retargeting,01/07/20,50,32894
Google Ads,GDN_Retargeting,01/08/20,51,32292
Google Ads,GDN_Retargeting,01/09/20,61,45850
Google Ads,GDN_Retargeting,01/10/20,47,32380
Google Ads,GDN_Retargeting,01/11/20,49,21807
Google Ads,GDN_Retargeting,01/12/20,54,31797
Google Ads,GDN_Retargeting,01/13/20,52,38403
Google Ads,GDN_Retargeting,01/14/20,49,29923
Google Ads,GDN_Retargeting,01/15/20,55,32546
Google Ads,GDN_Retargeting,01/16/20,55,32278
Google Ads,GDN_Retargeting,01/17/20,53,32095
Google Ads,GDN_Retargeting,01/18/20,50,36900
Google Ads,GDN_Retargeting,01/19/20,49,22484
Google Ads,GDN_Retargeting,01/20/20,51,34690
Google Ads,GDN_Retargeting,01/21/20,47,29620
Google Ads,GDN_Retargeting,01/22/20,51,31399
Google Ads,GDN_Retargeting,01/23/20,53,38938
Google Ads,GDN_Retargeting,01/24/20,50,24496
Google Ads,GDN_Retargeting,01/25/20,45,22521
Google Ads,GDN_Retargeting,01/26/20,50,26725
Google Ads,GDN_Retargeting,01/27/20,48,35075
Google Ads,GDN_Retargeting,01/28/20,56,34167
Google Ads,GDN_Retargeting,01/29/20,49,23996
Google Ads,GDN_Retargeting,01/30/20,43,33289
Google Ads,GDN_Retargeting,01/31/20,45,37818
Google Ads,GDN_Retargeting,02/01/20,59,40564
Google Ads,GDN_Retargeting,02/02/20,66,49785
Google Ads,GDN_Retargeting,02/03/20,62,41204
Google Ads,GDN_Retargeting,02/04/20,55,29112
Google Ads,GDN_Retargeting,02/05/20,52,35533
Google Ads,GDN_Retargeting,02/06/20,54,49546
Google Ads,GDN_Retargeting,02/07/20,49,25479
Google Ads,GDN_Retargeting,02/08/20,64,45509
Google Ads,GDN_Retargeting,02/09/20,58,36391
Google Ads,GDN_Retargeting,02/10/20,56,38495
Google Ads,GDN_Retargeting,02/11/20,59,40242
Google Ads,GDN_Retargeting,02/12/20,57,36916
Google Ads,GDN_Retargeting,02/13/20,52,34271
Google Ads,GDN_Retargeting,02/14/20,22,15955
Google Ads,Mitgliedschaft KiMi,05/13/19,0,23
Google Ads,Mitgliedschaft KiMi,05/14/19,0,23
Google Ads,Mitgliedschaft KiMi,05/15/19,0,18
Google Ads,Mitgliedschaft KiMi,05/16/19,0,6
Google Ads,Mitgliedschaft KiMi,05/17/19,0,6
Google Ads,Mitgliedschaft KiMi,05/18/19,0,8
Google Ads,Mitgliedschaft KiMi,05/19/19,0,6
Google Ads,Mitgliedschaft KiMi,05/20/19,0,14
Google Ads,Mitgliedschaft KiMi,05/21/19,0,13
Google Ads,Mitgliedschaft KiMi,05/22/19,0,18
Google Ads,Mitgliedschaft KiMi,05/23/19,0,4
Google Ads,Mitgliedschaft KiMi,05/24/19,0,10
Google Ads,Mitgliedschaft KiMi,05/25/19,0,6
Google Ads,Mitgliedschaft KiMi,05/26/19,0,4
Google Ads,Mitgliedschaft KiMi,05/28/19,0,1
Google Ads,Mitgliedschaft KiMi,06/07/19,0,1
Google Ads,Mitgliedschaft KiMi,06/26/19,0,1
Google Ads,Mitgliedschaft KiMi,07/19/19,0,1
Google Ads,Mitgliedschaft KiMi,07/27/19,0,2
Google Ads,Mitgliedschaft KiMi,09/01/19,0,1
Google Ads,Motorrad Mitgliedschaft,03/15/19,1,5706
Google Ads,Motorrad Mitgliedschaft,03/16/19,6,110025
Google Ads,Motorrad Mitgliedschaft,03/17/19,6,97374
Google Ads,Motorrad Mitgliedschaft,03/18/19,5,80802
Google Ads,Motorrad Mitgliedschaft,03/19/19,3,63121
Google Ads,Motorrad Mitgliedschaft,03/20/19,10,82855
Google Ads,Motorrad Mitgliedschaft,03/21/19,5,59714
Google Ads,Motorrad Mitgliedschaft,03/22/19,3,55961
Google Ads,Motorrad Mitgliedschaft,03/23/19,3,47420
Google Ads,Motorrad Mitgliedschaft,03/24/19,4,48989
Google Ads,Motorrad Mitgliedschaft,03/25/19,3,33030
Google Ads,Motorrad Mitgliedschaft,03/26/19,3,45058
Google Ads,Motorrad Mitgliedschaft,03/27/19,8,81743
Google Ads,Motorrad Mitgliedschaft,03/28/19,2,56140
Google Ads,Motorrad Mitgliedschaft,03/29/19,2,39718
Google Ads,Motorrad Mitgliedschaft,03/30/19,1,35678
Google Ads,Motorrad Mitgliedschaft,03/31/19,2,36464
Google Ads,Motorrad Mitgliedschaft,04/01/19,1,31167
Google Ads,Motorrad Mitgliedschaft,04/02/19,0,9720
Google Ads,Motorrad Mitgliedschaft,04/03/19,0,3323
Google Ads,Motorrad Mitgliedschaft,04/04/19,0,3757
Google Ads,Motorrad Mitgliedschaft,04/05/19,0,2917
Google Ads,Motorrad Mitgliedschaft,04/06/19,1,2852
Google Ads,Motorrad Mitgliedschaft,04/07/19,0,1969
Google Ads,Motorrad Mitgliedschaft,04/08/19,0,1720
Google Ads,Motorrad Mitgliedschaft,04/09/19,0,288
Google Ads,Motorrad Mitgliedschaft,04/10/19,0,600
Google Ads,Motorrad Mitgliedschaft,04/11/19,0,709
Google Ads,Motorrad Mitgliedschaft,04/12/19,0,552
Google Ads,Motorrad Mitgliedschaft,04/13/19,0,843
Google Ads,Motorrad Mitgliedschaft,04/14/19,0,424
Google Ads,Motorrad Mitgliedschaft,04/15/19,0,625
Google Ads,Motorrad Mitgliedschaft,04/16/19,0,377
Google Ads,Motorrad Mitgliedschaft,04/17/19,0,267
Google Ads,Motorrad Mitgliedschaft,04/18/19,0,199
